year,month,site_code,product_code,predicted_value
2019,11,C1080,AS21126,9.0
2019,11,C1080,AS42018,13.0
2019,11,C1080,AS27134,16.0
2019,11,C1080,AS27132,13.0
2019,11,C1080,AS27000,196.0
2019,11,C1080,AS27137,13.0
2019,11,C1080,AS27138,13.0
2019,11,C1080,AS27133,89.0
2019,11,C1026,AS27134,6.0
2019,11,C1026,AS27132,14.0
2019,11,C1026,AS27000,62.0
2019,11,C1026,AS27137,14.0
2019,11,C1026,AS27138,14.0
2019,11,C1026,AS27133,30.0
2019,11,C1066,AS27134,29.0
2019,11,C1066,AS27132,10.0
2019,11,C1066,AS27000,44.0
2019,11,C1066,AS27137,10.0
2019,11,C1066,AS27138,10.0
2019,11,C1066,AS27133,82.0
2019,11,C1010,AS27134,6.0
2019,11,C1010,AS27132,5.0
2019,11,C1010,AS27000,14.0
2019,11,C1010,AS27137,5.0
2019,11,C1010,AS27138,5.0
2019,11,C1010,AS27133,68.0
2019,11,C1011,AS21126,4.0
2019,11,C1011,AS46000,3.0
2019,11,C1011,AS27134,7.0
2019,11,C1011,AS27132,9.0
2019,11,C1011,AS27000,13.0
2019,11,C1011,AS27139,2.0
2019,11,C1011,AS27137,9.0
2019,11,C1011,AS27138,9.0
2019,11,C1011,AS27133,67.0
2019,11,C1063,AS42018,3.0
2019,11,C1063,AS21126,1.0
2019,11,C1063,AS46000,1.0
2019,11,C1063,AS17005,3.0
2019,11,C1063,AS27134,10.0
2019,11,C1063,AS27132,3.0
2019,11,C1063,AS27000,3.0
2019,11,C1063,AS27139,1.0
2019,11,C1063,AS27137,3.0
2019,11,C1063,AS27138,3.0
2019,11,C1063,AS27133,35.0
2019,12,C1080,AS21126,9.0
2019,12,C1080,AS42018,13.0
2019,12,C1080,AS27134,16.0
2019,12,C1080,AS27132,13.0
2019,12,C1080,AS27000,196.0
2019,12,C1080,AS27137,13.0
2019,12,C1080,AS27138,13.0
2019,12,C1080,AS27133,89.0
2019,12,C1026,AS27134,6.0
2019,12,C1026,AS27132,14.0
2019,12,C1026,AS27000,62.0
2019,12,C1026,AS27137,14.0
2019,12,C1026,AS27138,14.0
2019,12,C1026,AS27133,30.0
2019,12,C1010,AS27134,6.0
2019,12,C1010,AS27132,5.0
2019,12,C1010,AS27000,14.0
2019,12,C1010,AS27137,5.0
2019,12,C1010,AS27138,5.0
2019,12,C1010,AS27133,68.0
2019,12,C1066,AS27134,29.0
2019,12,C1066,AS27132,10.0
2019,12,C1066,AS27000,44.0
2019,12,C1066,AS27137,10.0
2019,12,C1066,AS27138,10.0
2019,12,C1066,AS27133,82.0
2019,12,C1011,AS21126,4.0
2019,12,C1011,AS46000,3.0
2019,12,C1011,AS27134,7.0
2019,12,C1011,AS27132,9.0
2019,12,C1011,AS27000,13.0
2019,12,C1011,AS27139,2.0
2019,12,C1011,AS27137,9.0
2019,12,C1011,AS27138,9.0
2019,12,C1011,AS27133,67.0
2019,12,C1063,AS42018,3.0
2019,12,C1063,AS21126,1.0
2019,12,C1063,AS46000,1.0
2019,12,C1063,AS17005,3.0
2019,12,C1063,AS27134,10.0
2019,12,C1063,AS27132,3.0
2019,12,C1063,AS27000,3.0
2019,12,C1063,AS27139,1.0
2019,12,C1063,AS27137,3.0
2019,12,C1063,AS27138,3.0
2019,12,C1063,AS27133,35.0
2019,10,C1008,AS42018,5.0
2019,10,C1008,AS27134,8.0
2019,10,C1008,AS27000,11.0
2019,10,C1008,AS27137,5.0
2019,10,C1008,AS27138,5.0
2019,10,C1008,AS27133,20.0
2019,11,C1008,AS42018,5.0
2019,11,C1008,AS27134,8.0
2019,11,C1008,AS27000,11.0
2019,11,C1008,AS27137,5.0
2019,11,C1008,AS27138,5.0
2019,11,C1008,AS27133,20.0
2019,12,C1008,AS42018,5.0
2019,12,C1008,AS27134,8.0
2019,12,C1008,AS27000,11.0
2019,12,C1008,AS27137,5.0
2019,12,C1008,AS27138,5.0
2019,12,C1008,AS27133,20.0
2019,10,C1679,AS46000,21.0
2019,10,C1679,AS27000,4.0
2019,10,C1679,AS27139,1.0
2019,10,C1679,AS27138,5.0
2019,10,C1679,AS27133,19.0
2019,10,C1082,AS21126,2.0
2019,10,C1082,AS27134,19.0
2019,10,C1082,AS27132,5.0
2019,10,C1082,AS27000,25.0
2019,10,C1082,AS27137,5.0
2019,10,C1082,AS27138,5.0
2019,10,C1082,AS27133,66.0
2019,11,C1679,AS46000,21.0
2019,11,C1679,AS27000,4.0
2019,11,C1679,AS27139,1.0
2019,11,C1679,AS27138,5.0
2019,11,C1679,AS27133,19.0
2019,11,C1082,AS21126,2.0
2019,11,C1082,AS27134,19.0
2019,11,C1082,AS27132,5.0
2019,11,C1082,AS27000,25.0
2019,11,C1082,AS27137,5.0
2019,11,C1082,AS27138,5.0
2019,11,C1082,AS27133,66.0
2019,12,C1082,AS21126,2.0
2019,12,C1082,AS27134,19.0
2019,12,C1082,AS27132,5.0
2019,12,C1082,AS27000,25.0
2019,12,C1082,AS27137,5.0
2019,12,C1082,AS27138,5.0
2019,12,C1082,AS27133,66.0
2019,12,C1679,AS46000,21.0
2019,12,C1679,AS27000,4.0
2019,12,C1679,AS27139,1.0
2019,12,C1679,AS27138,5.0
2019,12,C1679,AS27133,19.0
2019,10,C1413,AS21126,1.0
2019,10,C1413,AS27134,3.0
2019,10,C1413,AS27132,5.0
2019,10,C1413,AS27000,16.0
2019,10,C1413,AS27138,5.0
2019,10,C1413,AS27133,22.0
2019,10,C1054,AS21126,13.0
2019,10,C1054,AS27134,6.0
2019,10,C1054,AS27132,19.0
2019,10,C1054,AS27000,49.0
2019,10,C1054,AS27137,19.0
2019,10,C1054,AS27138,19.0
2019,10,C1054,AS27133,38.0
2019,10,C1014,AS42018,3.0
2019,10,C1014,AS21126,1.0
2019,10,C1014,AS46000,0.0
2019,10,C1014,AS17005,3.0
2019,10,C1014,AS27134,1.0
2019,10,C1014,AS27132,3.0
2019,10,C1014,AS27000,2.0
2019,10,C1014,AS27139,1.0
2019,10,C1014,AS27137,3.0
2019,10,C1014,AS27138,3.0
2019,10,C1014,AS27133,11.0
2019,10,C1059,AS27134,6.0
2019,10,C1059,AS27132,8.0
2019,10,C1059,AS27000,106.0
2019,10,C1059,AS27137,8.0
2019,10,C1059,AS27138,8.0
2019,10,C1059,AS27133,82.0
2019,10,C1051,AS27134,8.0
2019,10,C1051,AS27132,4.0
2019,10,C1051,AS27000,26.0
2019,10,C1051,AS27137,4.0
2019,10,C1051,AS27138,4.0
2019,10,C1051,AS27133,33.0
2019,10,C1106,AS21126,1.0
2019,10,C1106,AS27134,9.0
2019,10,C1106,AS27132,4.0
2019,10,C1106,AS27000,3.0
2019,10,C1106,AS27138,4.0
2019,10,C1106,AS27133,8.0
2019,10,C1681,AS21126,3.0
2019,10,C1681,AS17005,7.0
2019,10,C1681,AS27134,21.0
2019,10,C1681,AS27132,7.0
2019,10,C1681,AS27000,16.0
2019,10,C1681,AS27137,7.0
2019,10,C1681,AS27138,7.0
2019,10,C1681,AS27133,102.0
2019,10,C1062,AS21126,4.0
2019,10,C1062,AS27134,33.0
2019,10,C1062,AS27132,14.0
2019,10,C1062,AS27000,201.0
2019,10,C1062,AS27139,2.0
2019,10,C1062,AS27137,14.0
2019,10,C1062,AS27138,14.0
2019,10,C1062,AS27133,40.0
2019,10,C1034,AS27134,11.0
2019,10,C1034,AS27132,7.0
2019,10,C1034,AS27000,32.0
2019,10,C1034,AS27138,7.0
2019,10,C1034,AS27133,28.0
2019,11,C1106,AS21126,1.0
2019,11,C1106,AS27134,9.0
2019,11,C1106,AS27132,4.0
2019,11,C1106,AS27000,3.0
2019,11,C1106,AS27138,4.0
2019,11,C1106,AS27133,8.0
2019,11,C1681,AS21126,3.0
2019,11,C1681,AS46000,18.0
2019,11,C1681,AS17005,7.0
2019,11,C1681,AS27134,21.0
2019,11,C1681,AS27132,7.0
2019,11,C1681,AS27000,16.0
2019,11,C1681,AS27137,7.0
2019,11,C1681,AS27138,7.0
2019,11,C1681,AS27133,102.0
2019,11,C1062,AS21126,4.0
2019,11,C1062,AS27134,33.0
2019,11,C1062,AS27132,14.0
2019,11,C1062,AS27000,201.0
2019,11,C1062,AS27139,2.0
2019,11,C1062,AS27137,14.0
2019,11,C1062,AS27138,14.0
2019,11,C1062,AS27133,40.0
2019,11,C1034,AS27134,11.0
2019,11,C1034,AS27132,7.0
2019,11,C1034,AS27000,32.0
2019,11,C1034,AS27138,7.0
2019,11,C1034,AS27133,28.0
2019,11,C1413,AS21126,1.0
2019,11,C1413,AS27134,3.0
2019,11,C1413,AS27132,5.0
2019,11,C1413,AS27000,16.0
2019,11,C1413,AS27138,5.0
2019,11,C1413,AS27133,22.0
2019,11,C1014,AS21126,1.0
2019,11,C1014,AS42018,3.0
2019,11,C1014,AS46000,0.0
2019,11,C1014,AS17005,3.0
2019,11,C1014,AS27134,1.0
2019,11,C1014,AS27132,3.0
2019,11,C1014,AS27000,2.0
2019,11,C1014,AS27139,1.0
2019,11,C1014,AS27137,3.0
2019,11,C1014,AS27138,3.0
2019,11,C1014,AS27133,11.0
2019,11,C1059,AS27134,6.0
2019,11,C1059,AS27132,8.0
2019,11,C1059,AS27000,106.0
2019,11,C1059,AS27137,8.0
2019,11,C1059,AS27138,8.0
2019,11,C1059,AS27133,82.0
2019,11,C1051,AS27134,8.0
2019,11,C1051,AS27132,4.0
2019,11,C1051,AS27000,26.0
2019,11,C1051,AS27137,4.0
2019,11,C1051,AS27138,4.0
2019,11,C1051,AS27133,33.0
2019,11,C1054,AS21126,13.0
2019,11,C1054,AS27134,6.0
2019,11,C1054,AS27132,19.0
2019,11,C1054,AS27000,49.0
2019,11,C1054,AS27137,19.0
2019,11,C1054,AS27138,19.0
2019,11,C1054,AS27133,38.0
2019,12,C1034,AS27134,11.0
2019,12,C1034,AS27132,7.0
2019,12,C1034,AS27000,32.0
2019,12,C1034,AS27138,7.0
2019,12,C1034,AS27133,28.0
2019,12,C1059,AS27134,6.0
2019,12,C1059,AS27132,8.0
2019,12,C1059,AS27000,106.0
2019,12,C1059,AS27137,8.0
2019,12,C1059,AS27138,8.0
2019,12,C1059,AS27133,82.0
2019,12,C1051,AS27134,8.0
2019,12,C1051,AS27132,4.0
2019,12,C1051,AS27000,26.0
2019,12,C1051,AS27137,4.0
2019,12,C1051,AS27138,4.0
2019,12,C1051,AS27133,33.0
2019,12,C1413,AS21126,1.0
2019,12,C1413,AS27134,3.0
2019,12,C1413,AS27132,5.0
2019,12,C1413,AS27000,16.0
2019,12,C1413,AS27138,5.0
2019,12,C1413,AS27133,22.0
2019,12,C1054,AS21126,13.0
2019,12,C1054,AS27134,6.0
2019,12,C1054,AS27132,19.0
2019,12,C1054,AS27000,49.0
2019,12,C1054,AS27137,19.0
2019,12,C1054,AS27138,19.0
2019,12,C1054,AS27133,38.0
2019,12,C1014,AS42018,3.0
2019,12,C1014,AS21126,1.0
2019,12,C1014,AS46000,0.0
2019,12,C1014,AS17005,3.0
2019,12,C1014,AS27134,1.0
2019,12,C1014,AS27132,3.0
2019,12,C1014,AS27000,2.0
2019,12,C1014,AS27139,1.0
2019,12,C1014,AS27137,3.0
2019,12,C1014,AS27138,3.0
2019,12,C1014,AS27133,11.0
2019,12,C1106,AS21126,1.0
2019,12,C1106,AS27134,9.0
2019,12,C1106,AS27132,4.0
2019,12,C1106,AS27000,3.0
2019,12,C1106,AS27138,4.0
2019,12,C1106,AS27133,8.0
2019,12,C1062,AS27134,33.0
2019,12,C1062,AS27132,14.0
2019,12,C1062,AS27000,201.0
2019,12,C1062,AS27139,2.0
2019,12,C1062,AS27137,14.0
2019,12,C1062,AS27138,14.0
2019,12,C1062,AS27133,40.0
2019,12,C1062,AS21126,4.0
2019,12,C1681,AS21126,3.0
2019,12,C1681,AS46000,18.0
2019,12,C1681,AS17005,7.0
2019,12,C1681,AS27134,21.0
2019,12,C1681,AS27132,7.0
2019,12,C1681,AS27000,16.0
2019,12,C1681,AS27137,7.0
2019,12,C1681,AS27138,7.0
2019,12,C1681,AS27133,102.0
2019,10,C4037,AS21126,9.0
2019,10,C4037,AS46000,29.0
2019,10,C4037,AS27134,22.0
2019,10,C4037,AS27132,18.0
2019,10,C4037,AS27000,47.0
2019,10,C4037,AS27137,18.0
2019,10,C4037,AS27138,18.0
2019,10,C4037,AS27133,94.0
2019,11,C4037,AS21126,9.0
2019,11,C4037,AS46000,29.0
2019,11,C4037,AS27134,22.0
2019,11,C4037,AS27132,18.0
2019,11,C4037,AS27000,47.0
2019,11,C4037,AS27137,18.0
2019,11,C4037,AS27138,18.0
2019,11,C4037,AS27133,94.0
2019,12,C4037,AS21126,9.0
2019,12,C4037,AS46000,29.0
2019,12,C4037,AS27134,22.0
2019,12,C4037,AS27132,18.0
2019,12,C4037,AS27000,47.0
2019,12,C4037,AS27137,18.0
2019,12,C4037,AS27138,18.0
2019,12,C4037,AS27133,94.0
2019,10,C1004,AS21126,0.0
2019,10,C1004,AS27134,2.0
2019,10,C1004,AS27132,11.0
2019,10,C1004,AS27000,32.0
2019,10,C1004,AS27137,11.0
2019,10,C1004,AS27138,11.0
2019,10,C1004,AS27133,53.0
2019,11,C1004,AS21126,0.0
2019,11,C1004,AS27134,2.0
2019,11,C1004,AS27132,11.0
2019,11,C1004,AS27000,32.0
2019,11,C1004,AS27137,11.0
2019,11,C1004,AS27138,11.0
2019,11,C1004,AS27133,53.0
2019,12,C1004,AS21126,0.0
2019,12,C1004,AS27134,2.0
2019,12,C1004,AS27132,11.0
2019,12,C1004,AS27000,32.0
2019,12,C1004,AS27137,11.0
2019,12,C1004,AS27138,11.0
2019,12,C1004,AS27133,53.0
2019,10,C4014,AS21126,1.0
2019,10,C4014,AS27132,3.0
2019,10,C4014,AS27000,58.0
2019,10,C4014,AS27137,3.0
2019,11,C4014,AS21126,1.0
2019,11,C4014,AS27132,3.0
2019,11,C4014,AS27000,58.0
2019,11,C4014,AS27137,3.0
2019,12,C4014,AS21126,1.0
2019,12,C4014,AS27132,3.0
2019,12,C4014,AS27000,58.0
2019,12,C4014,AS27137,3.0
2019,10,C4015,AS27134,23.0
2019,10,C4015,AS27132,6.0
2019,10,C4015,AS27000,15.0
2019,10,C4015,AS27137,6.0
2019,10,C4015,AS27138,6.0
2019,10,C4015,AS27133,23.0
2019,10,C4061,AS21126,0.0
2019,10,C4061,AS27134,4.0
2019,10,C4061,AS27132,10.0
2019,10,C4061,AS27000,8.0
2019,10,C4061,AS27137,10.0
2019,10,C4061,AS27138,10.0
2019,10,C4061,AS27133,24.0
2019,10,C4038,AS42018,6.0
2019,10,C4038,AS21126,1.0
2019,10,C4038,AS27134,7.0
2019,10,C4038,AS27132,6.0
2019,10,C4038,AS27000,7.0
2019,10,C4038,AS27139,1.0
2019,10,C4038,AS27137,6.0
2019,10,C4038,AS27138,6.0
2019,10,C4038,AS27133,31.0
2019,11,C4015,AS27134,23.0
2019,11,C4015,AS27132,6.0
2019,11,C4015,AS27000,15.0
2019,11,C4015,AS27137,6.0
2019,11,C4015,AS27138,6.0
2019,11,C4015,AS27133,23.0
2019,11,C4038,AS21126,1.0
2019,11,C4038,AS42018,6.0
2019,11,C4038,AS27134,7.0
2019,11,C4038,AS27132,6.0
2019,11,C4038,AS27000,7.0
2019,11,C4038,AS27139,1.0
2019,11,C4038,AS27137,6.0
2019,11,C4038,AS27138,6.0
2019,11,C4038,AS27133,31.0
2019,11,C4061,AS21126,0.0
2019,11,C4061,AS27134,4.0
2019,11,C4061,AS27132,10.0
2019,11,C4061,AS27000,8.0
2019,11,C4061,AS27137,10.0
2019,11,C4061,AS27138,10.0
2019,11,C4061,AS27133,24.0
2019,12,C4061,AS21126,0.0
2019,12,C4061,AS27134,4.0
2019,12,C4061,AS27132,10.0
2019,12,C4061,AS27000,8.0
2019,12,C4061,AS27137,10.0
2019,12,C4061,AS27138,10.0
2019,12,C4061,AS27133,24.0
2019,12,C4015,AS27134,23.0
2019,12,C4015,AS27132,6.0
2019,12,C4015,AS27000,15.0
2019,12,C4015,AS27137,6.0
2019,12,C4015,AS27138,6.0
2019,12,C4015,AS27133,23.0
2019,12,C4038,AS42018,6.0
2019,12,C4038,AS21126,1.0
2019,12,C4038,AS27134,7.0
2019,12,C4038,AS27132,6.0
2019,12,C4038,AS27000,7.0
2019,12,C4038,AS27139,1.0
2019,12,C4038,AS27137,6.0
2019,12,C4038,AS27138,6.0
2019,12,C4038,AS27133,31.0
2019,10,C1093,AS46000,5.0
2019,10,C1093,AS27000,7.0
2019,10,C1093,AS27139,1.0
2019,10,C1093,AS27133,21.0
2019,10,C1083,AS46000,46.0
2019,10,C1083,AS27000,1.0
2019,10,C1083,AS27138,4.0
2019,10,C1083,AS27133,56.0
2019,11,C1093,AS46000,5.0
2019,11,C1093,AS27000,7.0
2019,11,C1093,AS27139,1.0
2019,11,C1093,AS27133,21.0
2019,11,C1083,AS46000,46.0
2019,11,C1083,AS27000,1.0
2019,11,C1083,AS27138,4.0
2019,11,C1083,AS27133,56.0
2019,12,C1093,AS46000,5.0
2019,12,C1093,AS27000,7.0
2019,12,C1093,AS27139,1.0
2019,12,C1093,AS27133,21.0
2019,12,C1083,AS46000,46.0
2019,12,C1083,AS27000,1.0
2019,12,C1083,AS27137,4.0
2019,12,C1083,AS27138,4.0
2019,12,C1083,AS27133,56.0
2019,10,C1084,AS21126,10.0
2019,10,C1084,AS17005,9.0
2019,10,C1084,AS27134,12.0
2019,10,C1084,AS27132,9.0
2019,10,C1084,AS27000,51.0
2019,10,C1084,AS27137,9.0
2019,10,C1084,AS27138,9.0
2019,10,C1084,AS27133,61.0
2019,11,C1084,AS21126,10.0
2019,11,C1084,AS17005,9.0
2019,11,C1084,AS27134,12.0
2019,11,C1084,AS27132,9.0
2019,11,C1084,AS27000,51.0
2019,11,C1084,AS27137,9.0
2019,11,C1084,AS27138,9.0
2019,11,C1084,AS27133,61.0
2019,12,C1084,AS21126,10.0
2019,12,C1084,AS17005,9.0
2019,12,C1084,AS27134,12.0
2019,12,C1084,AS27132,9.0
2019,12,C1084,AS27000,51.0
2019,12,C1084,AS27137,9.0
2019,12,C1084,AS27138,9.0
2019,12,C1084,AS27133,61.0
2019,10,C5015,AS21126,7.0
2019,10,C5015,AS46000,139.0
2019,10,C5015,AS27000,2.0
2019,10,C5015,AS27137,4.0
2019,10,C5015,AS27138,4.0
2019,10,C5015,AS27133,36.0
2019,11,C5015,AS21126,7.0
2019,11,C5015,AS46000,139.0
2019,11,C5015,AS27000,2.0
2019,11,C5015,AS27137,4.0
2019,11,C5015,AS27138,4.0
2019,11,C5015,AS27133,36.0
2019,12,C5015,AS21126,7.0
2019,12,C5015,AS46000,139.0
2019,12,C5015,AS27000,2.0
2019,12,C5015,AS27137,4.0
2019,12,C5015,AS27138,4.0
2019,12,C5015,AS27133,36.0
2019,10,C2047,AS27000,11.0
2019,10,C2047,AS27139,1.0
2019,10,C2047,AS27137,5.0
2019,10,C2047,AS27138,5.0
2019,10,C2047,AS27133,35.0
2019,11,C2047,AS27000,11.0
2019,11,C2047,AS27139,1.0
2019,11,C2047,AS27137,5.0
2019,11,C2047,AS27138,5.0
2019,11,C2047,AS27133,35.0
2019,12,C2047,AS27000,11.0
2019,12,C2047,AS27139,1.0
2019,12,C2047,AS27137,5.0
2019,12,C2047,AS27138,5.0
2019,12,C2047,AS27133,35.0
2019,10,C4056,AS21126,1.0
2019,10,C4056,AS27134,4.0
2019,10,C4056,AS27132,6.0
2019,10,C4056,AS27000,8.0
2019,10,C4056,AS27139,0.0
2019,10,C4056,AS27137,6.0
2019,10,C4056,AS27138,6.0
2019,10,C4056,AS27133,21.0
2019,11,C4056,AS21126,1.0
2019,11,C4056,AS27134,4.0
2019,11,C4056,AS27132,6.0
2019,11,C4056,AS27000,8.0
2019,11,C4056,AS27139,0.0
2019,11,C4056,AS27137,6.0
2019,11,C4056,AS27138,6.0
2019,11,C4056,AS27133,21.0
2019,12,C4056,AS21126,1.0
2019,12,C4056,AS27134,4.0
2019,12,C4056,AS27132,6.0
2019,12,C4056,AS27000,8.0
2019,12,C4056,AS27139,0.0
2019,12,C4056,AS27137,6.0
2019,12,C4056,AS27138,6.0
2019,12,C4056,AS27133,21.0
2019,10,C5016,AS27134,2.0
2019,10,C5016,AS27000,3.0
2019,10,C5016,AS27137,8.0
2019,10,C5016,AS27138,8.0
2019,10,C5016,AS27133,32.0
2019,11,C5016,AS27134,2.0
2019,11,C5016,AS27000,3.0
2019,11,C5016,AS27137,8.0
2019,11,C5016,AS27138,8.0
2019,11,C5016,AS27133,32.0
2019,12,C5016,AS27134,2.0
2019,12,C5016,AS27000,3.0
2019,12,C5016,AS27137,8.0
2019,12,C5016,AS27138,8.0
2019,12,C5016,AS27133,32.0
2019,10,C5017,AS21126,1.0
2019,10,C5017,AS46000,198.0
2019,10,C5017,AS27132,3.0
2019,10,C5017,AS27000,18.0
2019,10,C5017,AS27137,3.0
2019,10,C5017,AS27138,3.0
2019,10,C5017,AS27133,60.0
2019,11,C5017,AS21126,1.0
2019,11,C5017,AS46000,198.0
2019,11,C5017,AS27132,3.0
2019,11,C5017,AS27000,18.0
2019,11,C5017,AS27137,3.0
2019,11,C5017,AS27138,3.0
2019,11,C5017,AS27133,60.0
2019,12,C5017,AS21126,1.0
2019,12,C5017,AS46000,198.0
2019,12,C5017,AS27132,3.0
2019,12,C5017,AS27000,18.0
2019,12,C5017,AS27137,3.0
2019,12,C5017,AS27138,3.0
2019,12,C5017,AS27133,60.0
2019,10,C2049,AS21126,0.0
2019,10,C2049,AS46000,20.0
2019,10,C2049,AS27134,2.0
2019,10,C2049,AS27132,5.0
2019,10,C2049,AS27000,14.0
2019,10,C2049,AS27139,1.0
2019,10,C2049,AS27137,5.0
2019,10,C2049,AS27138,5.0
2019,10,C2049,AS27133,36.0
2019,11,C2049,AS21126,0.0
2019,11,C2049,AS46000,20.0
2019,11,C2049,AS27134,2.0
2019,11,C2049,AS27132,5.0
2019,11,C2049,AS27000,14.0
2019,11,C2049,AS27139,1.0
2019,11,C2049,AS27137,5.0
2019,11,C2049,AS27138,5.0
2019,11,C2049,AS27133,36.0
2019,12,C2049,AS21126,0.0
2019,12,C2049,AS46000,20.0
2019,12,C2049,AS27134,2.0
2019,12,C2049,AS27132,5.0
2019,12,C2049,AS27000,14.0
2019,12,C2049,AS27139,1.0
2019,12,C2049,AS27137,5.0
2019,12,C2049,AS27138,5.0
2019,12,C2049,AS27133,36.0
2019,10,C4002,AS42018,2.0
2019,10,C4002,AS27134,2.0
2019,10,C4002,AS27132,2.0
2019,10,C4002,AS27000,7.0
2019,10,C4002,AS27137,2.0
2019,10,C4002,AS27138,2.0
2019,10,C4002,AS27133,13.0
2019,11,C4002,AS42018,2.0
2019,11,C4002,AS27134,2.0
2019,11,C4002,AS27132,2.0
2019,11,C4002,AS27000,7.0
2019,11,C4002,AS27137,2.0
2019,11,C4002,AS27138,2.0
2019,11,C4002,AS27133,13.0
2019,12,C4002,AS42018,2.0
2019,12,C4002,AS27134,2.0
2019,12,C4002,AS27132,2.0
2019,12,C4002,AS27000,7.0
2019,12,C4002,AS27137,2.0
2019,12,C4002,AS27138,2.0
2019,12,C4002,AS27133,13.0
2019,10,C4017,AS46000,2.0
2019,10,C4017,AS17005,2.0
2019,10,C4017,AS27134,2.0
2019,10,C4017,AS27132,2.0
2019,10,C4017,AS27000,5.0
2019,10,C4017,AS27139,1.0
2019,10,C4017,AS27137,2.0
2019,10,C4017,AS27138,2.0
2019,10,C4017,AS27133,13.0
2019,10,C4016,AS21126,2.0
2019,10,C4016,AS27134,10.0
2019,10,C4016,AS27000,28.0
2019,10,C4016,AS27138,5.0
2019,10,C4016,AS27133,26.0
2019,10,C4054,AS21126,1.0
2019,10,C4054,AS27133,12.0
2019,11,C4054,AS21126,1.0
2019,11,C4054,AS27133,12.0
2019,11,C4016,AS21126,2.0
2019,11,C4016,AS27134,10.0
2019,11,C4016,AS27000,28.0
2019,11,C4016,AS27138,5.0
2019,11,C4016,AS27133,26.0
2019,11,C4017,AS46000,2.0
2019,11,C4017,AS17005,2.0
2019,11,C4017,AS27134,2.0
2019,11,C4017,AS27132,2.0
2019,11,C4017,AS27000,5.0
2019,11,C4017,AS27139,1.0
2019,11,C4017,AS27137,2.0
2019,11,C4017,AS27138,2.0
2019,11,C4017,AS27133,13.0
2019,12,C4016,AS21126,2.0
2019,12,C4016,AS27134,10.0
2019,12,C4016,AS27000,28.0
2019,12,C4016,AS27138,5.0
2019,12,C4016,AS27133,26.0
2019,12,C4017,AS46000,2.0
2019,12,C4017,AS27134,2.0
2019,12,C4017,AS27132,2.0
2019,12,C4017,AS27000,5.0
2019,12,C4017,AS27139,1.0
2019,12,C4017,AS27137,2.0
2019,12,C4017,AS27138,2.0
2019,12,C4017,AS27133,13.0
2019,12,C4054,AS21126,1.0
2019,12,C4054,AS27133,12.0
2019,10,C2011,AS42018,27.0
2019,10,C2011,AS46000,24.0
2019,10,C2011,AS17005,27.0
2019,10,C2011,AS27134,23.0
2019,10,C2011,AS27000,96.0
2019,10,C2011,AS27139,2.0
2019,10,C2011,AS27137,27.0
2019,10,C2011,AS27138,27.0
